# Name, RA, Dec, N_exp, SNR, parallax, parallax_error, Kmag, Kmag_err, Bmag, Bmag_err, Vmag, Vmag_err
P1455,83.61037,-5.37,3.0,135.761702995,2.389619693,0.242233039514,9.1859998703,0.0,11.5369997025,0.00600000005215,10.8990001678,0.0370000004768
ASAS-042041,65.176104,-1.7406,5.0,157.693944082,7.63098447449,0.251857678489,7.19099998474,0.0,9.11100006104,0.0469999983907,8.82400035858,0.0379999987781
GJ1099,113.57861,0.98468,6.0,29.7788515561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD171219,278.32656,5.44634,79.0,1380.21714234,1.66483128819,0.293764206028,7.03499984741,0.0,7.79400014877,0.0,7.67100000381,0.0
HD203850,321.751834,-56.12499,45.0,534.479887367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD103774,179.23549,-12.10582,52.0,694.419512975,17.7127255365,0.414844033259,6.0,0.0,0.0,0.0,0.0,0.0
HD42299,92.544321,6.32085,25.0,835.804588406,5.56600332708,0.290519867162,7.01999998093,0.0,7.80200004578,0.0,7.83699989319,0.0
HD150437,250.53227,-29.12315,14.0,231.662901648,18.4174655991,0.252821607254,6.32100009918,0.0,8.47700023651,0.0,7.83400011063,0.0
LMC-Cep2532,84.016149,-70.03218,11.0,35.1936073741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GW-ERI,62.902094,-20.35563,4.0,335.869811088,11.300303518,0.663166169647,5.45800018311,0.0,0.0,0.0,0.0,0.0
LRc03_E2_2182,278.7041,-6.61144,17.0,8.71263450398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRc04_E2_3706,278.94242,9.28338,6.0,12.1991803003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD91024,157.20982,-60.89665,42.0,1373.02055338,0.423661983451,0.225355237272,6.70499992371,0.0,7.82100009918,0.0,7.56799983978,0.0
GJ3508,129.28364,15.12632,7.0,29.06165859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HATS-BP,78.80108,-21.84153,1.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASAS195222,298.09488,-32.55986,28.0,324.261900321,1.46747144154,0.548983747062,5.67399978638,0.0,10.1800003052,0.0599999986589,8.89799976349,0.0
SMC8-201484,15.063428,-72.40237,22.0,36.2385154221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR1411,67.148466,15.96171,4.0,606.094596577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0306_0079,200.19755,7.02363,1.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD124834,214.99197,-73.96834,1.0,225.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-065663,315.9936,-6.13787,24.0,113.693579414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD153580,255.78708,-53.23821,1.0,224.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0343_0836,226.99774,4.2564,3.0,65.2519731502,19.2932624398,0.286115587855,7.07100009918,0.0,10.5500001907,0.0489999987185,nan,nan
LRc02_E1_0632,281.07877,6.66248,14.0,29.1991438231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRa01_E1_0286,101.15531,0.00732,15.0,69.043174898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSP95-29,159.16064,-64.7988,18.0,61.4164473085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD50890,103.750986,-2.80495,4.0,612.12459516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0874_0225,186.45957,9.7618,1.0,19.7,1.99046587692,0.751827334059,8.78100013733,0.0,12.4010000229,0.136999994516,11.4560003281,0.126000002027
LRa03_E2_1919,93.48547,5.47757,36.0,47.2768442263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD86659,149.25246,-69.10252,2.0,357.658859809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_spectrum,246.41692,-25.16333,2.0,293.534495417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRa02_E2_1715,102.82912,-3.36925,3.0,14.02176879,0.345889584486,0.408430294974,11.1689996719,0.0,13.1800003052,0.0430000014603,12.656999588,0.0240000002086
LRc04_E2_5405,278.94327,8.54434,13.0,12.3567795157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRc05_E2_3718,279.28193,4.53072,10.0,15.8908778864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sky_spectra,25.00017,-26.00001,4.0,850.310931366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD144880,242.2998,-32.09981,5.0,157.00216559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0348_0288,229.95403,7.1341,2.0,48.0834690928,10.5018799207,0.453833777328,8.25500011444,0.0,11.7709999084,0.0529999993742,10.8719997406,0.0270000007004
SRa01_E1_0770,100.19696,9.25839,20.0,59.1488799556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-206558,348.57421,-19.64366,4.0,57.5705653959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
